¡iTest¡j(Ensemble) Threshold Table_EN :
+------------------+-------+-------+---------+---------+---------+----------+-------------+-------------+
|    Threshold     |   TP  |   TN  |  TP+TN  |   PPV   |   NPV   | Accuracy | Sensitivity | Specificity |
|   (0.40,0.80)    |    7  |  135  |    142  |  0.875  |  0.309  |  0.319   |    0.081    |    0.376    |
|   (0.40,0.85)    |    6  |  135  |    141  |  0.857  |  0.308  |  0.317   |    0.070    |    0.376    |
|   (0.40,0.90)    |    4  |  135  |    139  |  0.800  |  0.307  |  0.312   |    0.047    |    0.376    |
|   (0.40,0.95)    |    3  |  135  |    138  |  0.750  |  0.306  |  0.310   |    0.035    |    0.376    |
|   (0.45,0.50)    |   12  |  129  |    141  |  0.750  |  0.301  |  0.317   |    0.140    |    0.359    |
|   (0.45,0.55)    |   11  |  131  |    142  |  0.917  |  0.303  |  0.319   |    0.128    |    0.365    |
|   (0.45,0.60)    |   11  |  131  |    142  |  0.917  |  0.303  |  0.319   |    0.128    |    0.365    |
|   (0.45,0.65)    |   10  |  131  |    141  |  0.909  |  0.302  |  0.317   |    0.116    |    0.365    |
|   (0.45,0.70)    |    9  |  131  |    140  |  0.900  |  0.301  |  0.315   |    0.105    |    0.365    |
|   (0.45,0.75)    |    8  |  131  |    139  |  0.889  |  0.300  |  0.312   |    0.093    |    0.365    |
|   (0.45,0.80)    |    7  |  131  |    138  |  0.875  |  0.300  |  0.310   |    0.081    |    0.365    |
|   (0.45,0.85)    |    6  |  131  |    137  |  0.857  |  0.299  |  0.308   |    0.070    |    0.365    |
|   (0.45,0.90)    |    4  |  131  |    135  |  0.800  |  0.298  |  0.303   |    0.047    |    0.365    |
|   (0.45,0.95)    |    3  |  131  |    134  |  0.750  |  0.297  |  0.301   |    0.035    |    0.365    |
|   (0.50,0.55)    |   11  |  128  |    139  |  0.917  |  0.296  |  0.312   |    0.128    |    0.357    |
|   (0.50,0.60)    |   11  |  128  |    139  |  0.917  |  0.296  |  0.312   |    0.128    |    0.357    |
|   (0.50,0.65)    |   10  |  128  |    138  |  0.909  |  0.295  |  0.310   |    0.116    |    0.357    |
|   (0.50,0.70)    |    9  |  128  |    137  |  0.900  |  0.294  |  0.308   |    0.105    |    0.357    |
|   (0.50,0.75)    |    8  |  128  |    136  |  0.889  |  0.294  |  0.306   |    0.093    |    0.357    |
|   (0.50,0.80)    |    7  |  128  |    135  |  0.875  |  0.293  |  0.303   |    0.081    |    0.357    |
|   (0.50,0.85)    |    6  |  128  |    134  |  0.857  |  0.292  |  0.301   |    0.070    |    0.357    |
|   (0.50,0.90)    |    4  |  128  |    132  |  0.800  |  0.291  |  0.297   |    0.047    |    0.357    |
|   (0.50,0.95)    |    3  |  128  |    131  |  0.750  |  0.290  |  0.294   |    0.035    |    0.357    |
|   (0.55,0.60)    |   11  |  127  |    138  |  0.917  |  0.293  |  0.310   |    0.128    |    0.354    |
|   (0.55,0.65)    |   10  |  127  |    137  |  0.909  |  0.293  |  0.308   |    0.116    |    0.354    |
|   (0.55,0.70)    |    9  |  127  |    136  |  0.900  |  0.292  |  0.306   |    0.105    |    0.354    |
|   (0.55,0.75)    |    8  |  127  |    135  |  0.889  |  0.291  |  0.303   |    0.093    |    0.354    |
|   (0.55,0.80)    |    7  |  127  |    134  |  0.875  |  0.291  |  0.301   |    0.081    |    0.354    |
|   (0.55,0.85)    |    6  |  127  |    133  |  0.857  |  0.290  |  0.299   |    0.070    |    0.354    |
|   (0.55,0.90)    |    4  |  127  |    131  |  0.800  |  0.289  |  0.294   |    0.047    |    0.354    |
|   (0.55,0.95)    |    3  |  127  |    130  |  0.750  |  0.288  |  0.292   |    0.035    |    0.354    |
|   (0.60,0.65)    |   10  |  126  |    136  |  0.909  |  0.290  |  0.306   |    0.116    |    0.351    |
|   (0.60,0.70)    |    9  |  126  |    135  |  0.900  |  0.290  |  0.303   |    0.105    |    0.351    |
|   (0.60,0.75)    |    8  |  126  |    134  |  0.889  |  0.289  |  0.301   |    0.093    |    0.351    |
|   (0.60,0.80)    |    7  |  126  |    133  |  0.875  |  0.288  |  0.299   |    0.081    |    0.351    |
|   (0.60,0.85)    |    6  |  126  |    132  |  0.857  |  0.288  |  0.297   |    0.070    |    0.351    |
|   (0.60,0.90)    |    4  |  126  |    130  |  0.800  |  0.286  |  0.292   |    0.047    |    0.351    |
|   (0.60,0.95)    |    3  |  126  |    129  |  0.750  |  0.286  |  0.290   |    0.035    |    0.351    |
|   (0.65,0.70)    |    9  |  125  |    134  |  0.900  |  0.287  |  0.301   |    0.105    |    0.348    |
|   (0.65,0.75)    |    8  |  125  |    133  |  0.889  |  0.287  |  0.299   |    0.093    |    0.348    |
|   (0.65,0.80)    |    7  |  125  |    132  |  0.875  |  0.286  |  0.297   |    0.081    |    0.348    |
|   (0.65,0.85)    |    6  |  125  |    131  |  0.857  |  0.285  |  0.294   |    0.070    |    0.348    |
|   (0.65,0.90)    |    4  |  125  |    129  |  0.800  |  0.284  |  0.290   |    0.047    |    0.348    |
