,11386.3,11411.9,11439.8,11456.9,11473.8,11498.4,11513.1,11527.5,11586.2,11628.9,11655.6,11683.6,11397.9,11424.8,11548.9,11564.1,11570.9,11599.7,11614.1,11640.5,11668.7,11705.5,11719.1,11727.6,11748.6,11770.7,11792.5,11340.8,11485.9,11591.4,11603.4,,12361,0.024913031,,,,,,,,,,,,,,,,,
,0.015188961,0.040409434,0.148010984,0.009509126,0.02677467,0.133184924,0.066651866,0.478037898,0.005592158,0.695966977,3.860883824,3.753285839,0.007123008,0.021807986,0.042222255,0.003495832,0.010326057,0.012637916,0.09233139,0.464079758,0.410491161,0.103608367,0.001204867,0.039541207,0.026309101,0.018189743,0.009162096,0.004573994,0.016571867,0.007838805,0.006393792,,345.125048,,,,,,,,,,,,,,,,,,
GC-KM-907_HYR20201005(1)=2.4 ug_ISD=5 ng_35%_2,SAA2a (RS-),SAA1g (RS-),SAA1a (RS-),SAA2a (R-),SAA1g (R-),SAAU2 (R-),SAA1a (R-),SAA1b (R-),SAAU3 (R-),SAA2a,SAA1g,SAA1a,bin1,bin3,bin9,bin16,bin24,bin28,bin32,bin37,bin42,bin46,bin51,bin55,bin61,bin62,bin66,bin73,bin82,UDF1,UDF92,,ISD,MAD,,,,,,,,,,,,,,,,,
,11386.2,11411.9,11440.7,11472.8,11498.6,11512.6,11527.4,11585.8,11602,11629.3,11655.5,11683.6,11397.9,11425.7,11459.2,11482.5,11548.9,11564.2,11573.3,11592.7,11606.3,11615.2,11640.5,11668.7,11705.6,11712.5,11726.6,11749.6,11789.6,11373.3,11768.6,,12361,0,,,,,,,,,,,,,,,,,
,0.032441279,0.035793318,0.145020684,0.044822322,0.122070848,0.069906776,0.487087294,0.00268083,0.012292593,0.541291329,3.612956827,3.692533903,0.003348557,0.02810907,0.014414853,0.022506912,0.036588283,0.005821712,0.018347217,0.008173497,0.003401847,0.120249055,0.410128788,0.40314843,0.136298827,0.002328694,0.058649074,0.023666942,0.033754977,0.009121225,0.014666944,,277.3346035,,,,,,,,,,,,,,,,,,
GP-TM-0021_HYR210127=2.4ug_ISD=7ng_50%_1,SAA2a (RS-),SAA1g (RS-),SAAU1 (RS-),SAA2a (R-),SAA1g (R-),SAAU1 (R-),SAA1b (R-),SAA2a,SAA1g,SAAU1,SAA1b,bin1,bin6,bin16,bin19,bin29,bin33,bin39,bin46,bin51,bin57,bin65,UDF1,UDF11,UDF90,UDF96,,ISD,MAD,,,,,,,,,,,,,,,,,,,,,,
,11385,11411.9,11456.7,11472.7,11498.7,11542.7,11587,11628.3,11655.3,11699,11742.7,11396.8,11434,11483.9,11520.9,11564.8,11577.6,11599.7,11613.5,11640,11677.1,11721.4,11370.9,11450.1,11764.8,11786.7,,12360.2,0,,,,,,,,,,,,,,,,,,,,,,
,0.782920941,5.566415385,0.685962419,1.927518462,13.70129919,0.45860111,0.172603145,3.916965621,32.16247165,1.107976036,0.419457218,0.651695104,0.294569906,1.901036189,1.186980036,0.451960429,0.153349838,0.039862213,0.921480313,5.580134116,2.675294812,0.58708947,0.119434535,0.018847501,0.311022068,0.202307477,,245.2201273,,,,,,,,,,,,,,,,,,,,,,,
GP-TM-0021_HYR210127=2.4ug_ISD=7ng_50%_2,SAA2a (RS-),SAA1g (RS-),SAAU1 (RS-),SAA2a (R-),SAA1g (R-),SAAU1 (R-),SAA1b (R-),SAA2a,SAA1g,SAAU1,SAA1b,bin1,bin6,bin16,bin19,bin29,bin33,bin39,bin51,bin57,bin65,UDF1,UDF54,UDF90,UDF96,,ISD,MAD,,,,,,,,,,,,,,,,,,,,,,,
,11385.2,11411.9,11456.9,11472.7,11499.4,11542.9,11586.9,11629,11655.3,11699,11742.7,11396.9,11433.9,11483.9,11520.9,11565.4,11577.5,11598.8,11640.2,11677.2,11721.4,11370.9,11613,11764.8,11787.7,,12360.2,0,,,,,,,,,,,,,,,,,,,,,,,
,0.793819795,4.844028074,0.620654018,1.789895608,11.45065781,0.468018458,0.113931836,3.485774804,27.21214462,1.02753689,0.391805046,0.646270025,0.305871428,1.545501174,1.119199082,0.505395208,0.119302073,0.071310188,4.621298712,2.387623515,0.587928213,0.146610988,0.699631836,0.298137152,0.220722771,,297.7920586,,,,,,,,,,,,,,,,,,,,,,,,
KN-KM-3002_HYR0721=2.4ug_ISD=20ng_1,SAA2a (RS-),SAA1g (RS-),SAA1a (RS-),SAA2a (R-),SAA1g (R-),SAAU2 (R-),SAA1a (R-),SAA2a,SAA1g,SAA1a,SAAU3,bin1,bin3,bin10,bin16,bin24,bin31,bin37,bin46,bin51,bin55,bin61,bin66,bin73,bin78,bin83,UDF1,,ISD,MAD,,,,,,,,,,,,,,,,,,,,,
,11386.4,11412.1,11440,11473.1,11498.7,11512,11527.4,11629.6,11655.1,11683.5,11755.5,11395.9,11425,11461.4,11484.1,11548.8,11571.1,11593.8,11614,11639.4,11668.7,11705.2,11727.2,11748.5,11770.6,11792.4,11352,,12361.1,0,,,,,,,,,,,,,,,,,,,,,
,0.002271876,0.045027784,0.166562537,0.028013788,0.300444588,0.115726226,0.973760162,0.028096259,0.60500938,2.611424531,0.001897731,0.013902723,0.018974919,0.009374596,0.069734358,0.114392556,0.051244571,0.027638782,0.022061051,0.100534567,0.429539419,0.305617189,0.095544917,0.041601946,0.025413105,0.016154377,0.025882691,,2121.898411,,,,,,,,,,,,,,,,,,,,,,
KN-KM-3002_HYR0721=2.4ug_ISD=20ng_2,SAA2a (RS-),SAA1g (RS-),SAA1a (RS-),SAA2a (R-),SAA1g (R-),SAAU2 (R-),SAA1a (R-),SAA1b (R-),SAA2a,SAA1g,SAA1a,bin1,bin3,bin10,bin16,bin24,bin31,bin42,bin46,bin51,bin55,bin61,bin66,bin73,bin78,bin83,UDF1,UDF44,,ISD,MAD,,,,,,,,,,,,,,,,,,,,
,11384.2,11411,11439.9,11472.9,11498.7,11512.5,11526.9,11585.3,11629,11654.2,11683.3,11395.9,11425.1,11461.8,11483.4,11548.9,11571.2,11607.1,11614.4,11639.2,11668.4,11704.9,11726.3,11748.5,11770.7,11792.5,11351.6,11591.7,,12361,0,,,,,,,,,,,,,,,,,,,,
,0.003924493,0.039902831,0.153024474,0.024897702,0.262418096,0.105222131,0.845359761,0.003290095,0.044024462,0.6045772,2.709852575,0.00944035,0.02161757,0.014673111,0.055368649,0.099680388,0.041497377,0.004186857,0.027922797,0.091660375,0.422152179,0.282813773,0.090947926,0.039132127,0.02495059,0.018473684,0.023734848,0.021449607,,1114.267217,,,,,,,,,,,,,,,,,,,,,
