CP-KM-42005_HYR190522=2.4ug_ISD=5ng_30%_2,SAA1g (RS-),SAAU1 (RS-),SAA2a (R-),SAA1g (R-),SAAU1 (R-),SAA2a,SAA1g,bin16,bin19,bin51,bin57,UDF52,,ISD,MAD1,MAD2,Total_SAA,,,,,,,,,,,,
,11412,11456.9,11471.6,11498.9,11544,11629.3,11655.1,11484,11520.9,11640.5,11677.5,11610.4,,12361,4.4478,0.008294318,0.620641153,,,,,,,,,,,,
,0.2,0.1,0.2,1,0.1,0.2,0.8,0.4,0.2,0.2,0.1,0.016073265,,1199.735146,,,,,,,,,,,,,,,
CP-KM-42006_HYR190522=2.4ug_ISD=5ng_30%_1,SAA1g (RS-),SAA1a (RS-),SAA1g (R-),SAAU2 (R-),SAA1a (R-),SAA1g,SAA1a,bin3,bin10,bin16,bin24,bin46,bin51,bin55,bin61,,ISD,MAD1,MAD2,Total_SAA,,,,,,,,,
,11412,11440.9,11498.9,11512.3,11527.4,11655.1,11683.2,11425.9,11462.5,11485.1,11548.6,11615.6,11640.1,11668.7,11704.6,,12361,4.4478,0.008410238,0.693167026,,,,,,,,,
,0.2,0.4,0.6,0.4,0.8,0.8,1,0.2,0.1,0.2,0.2,0.2,0.4,0.4,0.2,,1649.877769,,,,,,,,,,,,
CP-KM-42006_HYR190522=2.4ug_ISD=5ng_30%_2,SAA1g (RS-),SAA1a (RS-),SAA1g (R-),SAAU2 (R-),SAA1a (R-),SAA1g,SAA1a,bin3,bin10,bin16,bin24,bin45,bin51,bin55,bin61,UDF3,,ISD,MAD1,MAD2,Total_SAA,,,,,,,,
,11411.9,11439.7,11498.6,11512.1,11527.3,11655,11683.1,11424.7,11461.4,11484,11548.6,11611.9,11639.9,11668.6,11704.4,11399.1,,12361.1,2.9652,0.007275171,0.555888187,,,,,,,,
,0.4,0.4,0.6,0.4,0.8,0.8,1,0.2,0.2,0.2,0.2,0.2,0.4,0.4,0.2,0.009444559,,1621.678044,,,,,,,,,,,
CP-KM-42051_HYR20200408(2)=2.4 ug_ISD=5 ng_45%_1,SAA1a (RS-),SAA1g (R-),SAAU2 (R-),SAA1a (R-),SAA2a,SAA1a,bin3,bin10,bin14,bin24,bin54,bin55,bin61,,ISD,MAD1,MAD2,Total_SAA,,,,,,,,,,,
,11439.9,11497.2,11512,11527.2,11630.4,11683.5,11424.7,11460.3,11480.4,11549.2,11652.6,11668.5,11705.1,,12361,4.4478,0.029603866,2.694844074,,,,,,,,,,,
,0.1,0.1,0.2,0.8,0.1,1,0.1,0.1,0.1,0.1,0.1,0.4,0.1,,833.0319103,,,,,,,,,,,,,,
CP-KM-42062_HYR20200408(2)=2.4 ug_ISD=5 ng_45%_1,SAA1g (RS-),SAA1a (RS-),SAA1g (R-),SAAU2 (R-),SAA1a (R-),SAA1a,bin3,bin24,bin50,bin54,bin55,bin61,UDF19,,ISD,MAD1,MAD2,Total_SAA,,,,,,,,,,,
,11410.8,11440.8,11497.2,11512,11527.3,11683.5,11425.9,11550.1,11638.2,11653.4,11668.6,11706.1,11481.7,,12361,5.9304,0.204789179,21.35265505,,,,,,,,,,,
,0.1,0.1,0.1,0.4,0.8,1,0.1,0.1,0.1,0.2,0.4,0.1,0.289254327,,484.8516387,,,,,,,,,,,,,,
CP-KM-42062_HYR20200408(2)=2.4 ug_ISD=5 ng_45%_2,SAA1a (RS-),SAA2a (R-),SAA1g (R-),SAAU2 (R-),SAA1a (R-),SAA2a,SAA1a,bin3,bin16,bin24,bin51,bin54,bin55,bin61,,ISD,MAD1,MAD2,Total_SAA,,,,,,,,,,
,11440.8,11473.9,11497.2,11512,11527.3,11630.7,11683.8,11425.9,11482.7,11549.3,11639,11653.4,11668.5,11706.1,,12361,4.4478,0.240311382,27.47154968,,,,,,,,,,
,0.1,0.1,0.1,0.4,0.8,0.1,1,0.1,0.1,0.1,0.1,0.1,0.4,0.1,,287.0727042,,,,,,,,,,,,,
CP-KM-42064_HYR20200408(2)=2.4 ug_ISD=5 ng_45%_1,SAA1g (RS-),SAA1a (RS-),SAA2a (R-),SAA1g (R-),SAAU2 (R-),SAA1a (R-),SAA2a,SAA1a,bin3,bin10,bin24,bin54,bin55,bin61,UDF2,,ISD,MAD1,MAD2,Total_SAA,,,,,,,,,
,11410.8,11440.8,11473.9,11497.4,11512,11527.3,11630,11683.8,11425.9,11460.3,11550.1,11653.1,11668.7,11705.9,11387.5,,12361,10.3782,0.281108395,24.82994034,,,,,,,,,
,0.1,0.2,0.1,0.1,0.4,1,0.1,0.8,0.1,0.1,0.1,0.1,0.4,0.1,0.131050674,,520.9344093,,,,,,,,,,,,
CP-KM-42064_HYR20200408(2)=2.4 ug_ISD=5 ng_45%_2,SAA2a (RS-),SAA1g (RS-),SAA1a (RS-),SAA2a (R-),SAA1g (R-),SAAU2 (R-),SAA1a (R-),SAA2a,SAA1a,bin1,bin3,bin9,bin24,bin54,bin55,,ISD,MAD1,MAD2,Total_SAA,,,,,,,,,
,11385.3,11410.8,11440.8,11473.8,11497.2,11512,11527.5,11629.9,11683.8,11396.9,11424.8,11459.2,11550.1,11652.8,11668.7,,12361,7.413,0.265474949,21.2518929,,,,,,,,,
,0.1,0.1,0.2,0.1,0.1,0.4,1,0.1,0.8,0.1,0.1,0.1,0.1,0.1,0.4,,383.3943746,,,,,,,,,,,,
CP-KM-42067_HYR20200408(2)=2.4 ug_ISD=5 ng_45%_1,SAA1g (RS-),SAA1a (RS-),SAA2a (R-),SAA1g (R-),SAAU2 (R-),SAA1a (R-),SAA2a,SAA1a,bin3,bin9,bin46,bin54,bin55,bin61,bin65,UDF2,UDF79,,ISD,MAD1,MAD2,Total_SAA,,,,,,,
,11409.7,11440.8,11473.8,11497.2,11512.7,11527.4,11630,11684,11425.9,11459,11614.5,11653.4,11668.8,11706.1,11721.3,11387.5,11729.4,,12361,11.8608,0.640661871,75.95277665,,,,,,,
,0.1,0.1,0.1,0.1,0.1,0.4,0.2,1,0.1,0.1,0.1,0.2,0.4,0.1,0.1,0.197611795,1.583543073,,431.0465233,,,,,,,,,,
CP-KM-42067_HYR20200408(2)=2.4 ug_ISD=5 ng_45%_2,SAA1a (RS-),SAA2a (R-),SAA1g (R-),SAAU2 (R-),SAA1a (R-),SAA2a,SAA1a,bin2,bin3,bin10,bin46,bin54,bin55,bin61,bin65,UDF2,UDF79,,ISD,MAD1,MAD2,Total_SAA,,,,,,,
,11440.8,11473.8,11497.2,11512.7,11527.5,11630,11684,11413.2,11424.8,11460.2,11615,11653.1,11668.8,11706.1,11721.3,11387.5,11729.4,,12361,8.8956,0.600905735,73.41433301,,,,,,,
,0.1,0.1,0.1,0.1,0.4,0.2,1,0.1,0.1,0.1,0.1,0.2,0.4,0.1,0.1,0.190694173,1.447702211,,292.2004714,,,,,,,,,,
CP-KM-42079_HYR20200408(2)=2.4 ug_ISD=5 ng_45%_1,SAA1a (RS-),SAA1g (R-),SAAU2 (R-),SAA1a (R-),SAA1g,SAA1a,bin16,bin55,,ISD,MAD1,MAD2,Total_SAA,,,,,,,,,,,,,,,,
